fingerprint,source_countries,detected_country,protocol,transport,security,status,probe,latency_ms,attempts,recovered_on_retry,reason,first_reason,retry_reason
21f05ba59ee4c5ffda7bea6a8755fc1e7769591979972cbe81671f63080142f6,GB,,vless,grpc,reality,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:43576->127.0.0.1:43589: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:55400->127.0.0.1:43589: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:43576->127.0.0.1:43589: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:55400->127.0.0.1:43589: read: connection reset by peer,
2223884dfcd7f8ebe46978b497eb0883351e4ce98dc1457c77ae2a9e442b097d,RU,,vless,raw,reality,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:47920->127.0.0.1:37201: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:47928->127.0.0.1:37201: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:47920->127.0.0.1:37201: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:47928->127.0.0.1:37201: read: connection reset by peer,
22450b0f8b4b42cdfa9c8c2457ad119bf32320fdf0f27a89383c2a2f3651a06f,RU,,vless,grpc,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
225c75dab1e0207d02bfa12e7acf4fe2cf5a5e0d3233d52b1e8cc8cb8805e75d,HK,,vmess,websocket,tls,failed,,,2,False,http: http_status_failed: read tcp4 127.0.0.1:33686->127.0.0.1:45147: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:59490->127.0.0.1:45147: i/o timeout,http: http_status_failed: read tcp4 127.0.0.1:33686->127.0.0.1:45147: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:59490->127.0.0.1:45147: i/o timeout,http: http_status_failed: read tcp4 127.0.0.1:43668->127.0.0.1:42729: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:43674->127.0.0.1:42729: i/o timeout
225e316b668905408b6beb7fb1b6a97a049beae2be4cb2a02fd08be4316c4183,US,,vless,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:53110->127.0.0.1:46441: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:53158->127.0.0.1:46441: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:53110->127.0.0.1:46441: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:53158->127.0.0.1:46441: read: connection reset by peer,
2272873e8a31f24d2335abfafc879b8e83b1fe11f48c7a59dc3a7916ae0e171b,GB,,vless,raw,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
227d04cbb26fe8a9a4a0a97ff0df7f4c31e8d35321d7e11e871034e6c40bc8e7,GB,,vless,grpc,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
22c4b6cc870920b23fc4aabdfaf926f0d72239900fc8522eb16e501b14e54386,HK,HK,vmess,websocket,tls,geo_resolved,http,2282,1,False,country_match,country_match,
23234e751b40d43827e75589eb5261a68498d15ed9d9f3448d596dbe8f899b2e,LT,,vmess,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:50124->127.0.0.1:34869: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:47442->127.0.0.1:34869: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:50124->127.0.0.1:34869: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:47442->127.0.0.1:34869: read: connection reset by peer,
2346975717894a7ee6d5cc52cf8f6780ff44691a90ddbf75e84826e4497d8b09,RU,RU,vless,xhttp,tls,geo_resolved,http,2709,1,False,country_match,country_match,
235f926e7edb57a0440044daf7f132cf1fb0384a4b01696869326450a56cb648,IN,,vless,raw,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:47396->127.0.0.1:38529: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:40340->127.0.0.1:38529: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:47396->127.0.0.1:38529: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:40340->127.0.0.1:38529: read: connection reset by peer,
236909d8eddb9460bcf94251151288a0a6d8e670f991e792e6e0d63250c50eb2,LV,,vmess,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:60802->127.0.0.1:43021: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:58666->127.0.0.1:43021: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:60802->127.0.0.1:43021: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:58666->127.0.0.1:43021: read: connection reset by peer,
239c379aca125662790c83c05de1ea5d8287332d109412a7db506fda8eec718b,US,,vless,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:47972->127.0.0.1:36869: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:35864->127.0.0.1:36869: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:47972->127.0.0.1:36869: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:35864->127.0.0.1:36869: read: connection reset by peer,
23b847cd111b3f0072b7cbcf59f42c4af373fc645b2ce2ab540e8529d6388093,AE,,vless,grpc,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
2406137713b553d160d4e8e64cea6307e967ff3bac2ca2c2e62bdabccb998231,US,,vless,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:55494->127.0.0.1:41673: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:55496->127.0.0.1:41673: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:55494->127.0.0.1:41673: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:55496->127.0.0.1:41673: read: connection reset by peer,
24077afe07912334a77848286bdd3e8701b27a61abc3fd85c232f8f546eae665,GB,,vless,raw,reality,failed,,,2,False,http: http_status_failed: read tcp4 127.0.0.1:36634->127.0.0.1:36163: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:36648->127.0.0.1:36163: i/o timeout,http: http_status_failed: read tcp4 127.0.0.1:36634->127.0.0.1:36163: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:36648->127.0.0.1:36163: i/o timeout,http: http_status_failed: read tcp4 127.0.0.1:54224->127.0.0.1:45943: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:49976->127.0.0.1:45943: i/o timeout
24214b1a1a1b45b33c4b943cdb858506a2e1dbae0c5916facd8119cbdd206d6c,RU,,vless,grpc,reality,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:36666->127.0.0.1:44373: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:36674->127.0.0.1:44373: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:36666->127.0.0.1:44373: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:36674->127.0.0.1:44373: read: connection reset by peer,
244ca48f77365d5b6b1a6d4832a59cbf383fbf756ce6dd5fa4a4dc6b2b55f525,US,,vless,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:37204->127.0.0.1:37685: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:37206->127.0.0.1:37685: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:37204->127.0.0.1:37685: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:37206->127.0.0.1:37685: read: connection reset by peer,
